编号,,说明,详情,宝可梦,图片URL
105,树荫的优雅花田,费岩地的花散发出优雅的香气，轻柔地弥漫在四周。,"三角树 × 1
岩地的花 × 4",黑暗鸦、燃烧虫、火神蛾,https://img.game8.co/4432214/d3d8f4b661c8ac03910731158d5f6743.png/show
106,湿润的优雅花田,即使是在水边，费岩地的花也会傲然绽放。,"岩地的花 × 4
水 × 2",阿柏蛇、阿柏怪、蚊香蛙皇,https://img.game8.co/4434680/95bff17a94f28c2801fc3a061ddbdc2e.png/show
107,花田里的树桩舞台,建在花田中的舞台。站在树桩上沐浴灯光，感觉就像明星一样。,"岩地的花 × 4
树桩（任意） × 1
蘑菇台灯 × 2",宝宝丁、胖丁、蚊香蛙皇,https://img.game8.co/4434681/0fa34fcf6ab07d292712cf36056f3682.png/show
108,种田不容易,日里的蔬菜正在中壮成长：偶尔换换土，补充营养吧。,"菜田（任意） × 4
手推车 × 1",班基拉斯,https://img.game8.co/4434682/6df7cb3235ca60650fc104593f2d742d.png/show
109,浮浮水洼,可以在浮萍上行走，也可以跟着它一起漂浮。,"浮萍 × 4
水 × 2",莲叶童子、乐天河童,https://img.game8.co/4432222/0bbbe3f5d6ebe928f74563705413388a.png/show
110,满是苔藓,潮平平的，长满了苔藓。正适合喜欢潮湿环境的宝可梦。,苔藓 × 4,幼基拉斯、班基拉斯,https://img.game8.co/4431869/3a42144ea107f89445d98d176a880e2e.png/show
111,长满苔藓的岩石,空气湿润，氛围宁静。宝可梦们应该也能度过悠闲时光。,"苔藓 × 4
苔岩 × 1",隆隆石、隆隆岩,https://img.game8.co/4432227/d5ec0f6a3c89a8cb41822ac668696935.png/show
112,绿苔温泉,绿艺环绕的温泉。感受寂零之美，尽享悠闲时光。,"苔藓 × 4
温泉 × 2",煤炭龟,https://img.game8.co/4432231/f90d33a6824c90079ca7d72f46898d86.png/show
113,露天温泉,宝可梦们也会一边泡温泉，一边享受美景。,"出水口 × 1
温泉 × 2",腾蹴小将,https://img.game8.co/4433920/4acf47c3fbc87387f7d1e79117b364c8.png/show
114,养生温泉,泡一下热温泉，再泡一下冷水，就会感觉身体轻区又舒爽。,"出水口 × 1
水盆 × 1
温泉 × 2",蚊香蛙皇,https://img.game8.co/4432235/ecb7992b1a6dfb2a89cd12c6cf1cb252.png/show
115,熔岩熔岩热乎乎,到处都是熔岩，非常热。火居性的宝可梦难以抗拒。,"热热岩 × 1
熔岩 × 2",火神蛾、炭小侍,https://img.game8.co/4432279/50cc36d18575bb0333a57cadd82a3660.png/show
116,挖掘和煅烧,作业工具旁放着巨大的炉子。或许会有谁来生火。,"手推车 × 1
熔炉 × 1
掘山道具 × 1",鸭嘴火兽,https://img.game8.co/4432281/3e559f2cfcf7aff4f396abb9decf1f48.png/show
117,咚隆咣啷钢架工程,钢架工程正在进行。力气大的宝可梦好像会来帮忙。,"钢骨 × 3
手推车 × 1
沙包 × 1
掘山道具 × 1",大钢蛇、怪力,https://img.game8.co/4432288/65444ea5671060095c97b119203aaa63.png/show
118,诡异的白色岩石,高高的岩石周围长满了产藓。在提灯的光线下，显得有些阴森。,"笋岩 × 1
苔藓 × 4
木箱 × 1
提灯 × 1",晶光芽、晶光花,https://img.game8.co/4432292/acf62e2160912f899ae3a51948d20a52.png/show
119,在货物摆放处偷吃,在货物摆放处躲起来偷吃东西。宝可梦们可能也会肖悄凑过来。,"木桶 × 1
木箱 × 1
提灯 × 1
装盘的食物 × 1",地鼠、晶光芽、晶光花,https://img.game8.co/4432298/ec9fb898c720cd9430f9ea6d3c9c7495.png/show
120,充满期待的餐桌,今天的主菜是什公？敬请期待盖子打开的时刻吧。,"椅子（长） × 2
桌子（大） × 1
派对餐盘 × 4",吞食兽,https://img.game8.co/4434683/ba27e41685c84b2b56117a4b92772e3a.png/show
121,大口面包工坊,一边等面包出炉，一边准音配菜吧。,"面包窑 × 1
柜台面 × 2
装盘的食物 × 1",狗仔包、麻花犬,https://img.game8.co/4432304/c5a702505f579d630fde5ba5e4867a80.png/show
122,迷你厨房,洗好食材和碗碟，开火做料理。今天做什公好?,"厨房桌子 × 1
炉灶 × 1
平底锅（任意） × 1
水槽 × 1",鸭嘴炎兽,https://img.game8.co/4434684/4e9fb60cf64845a1fed9c7a9ad07eccb.png/show
123,大家一起开派对,食物和饮料都是自助式的。和大家一起尽情享受吧。,"供餐柜台 × 1
派对杯 × 1
装盘的食物 × 1",三地鼠、树才怪,https://img.game8.co/4434685/c6485a859f05019016969e6f9793c53b.png/show
124,悠闲地重温照片,一手端着饮料，在平板电脑上悠闲地翻看照片吧。,"平板电脑 × 1
派对杯 × 1",电音婴,https://img.game8.co/4434479/c5dbef16fcfd64e2255d319365f9e7cc.png/show
125,鸣唱会,说不定会有鸟宝可梦来到麦克风前展现动听的歌喉。,"木制栖杠 × 1
立式麦克风 × 1",乌鸦头头、聒噪鸟,https://img.game8.co/4432314/536948904e9a1fbaf211738ee91c35e4.png/show
126,独唱舞台,登上专属的舞台，来唱歌吧！,"音箱 × 2
舞台 × 1
立式麦克风 × 1",胖丁、胖可丁,https://img.game8.co/4437274/ecd6317535249d6c981917186d845303.png/show
127,跟着节奏一二三,宝可梦们也会随着节拍兴致勃勃地锻。,"沙袋 × 1
桌子（任意） × 1
CD播放器 × 1",豪力、利欧路、路卡利欧,https://img.game8.co/4432318/f17fff606dd12c53f478d2046c483987.png/show
128,音乐与阅读,边放音乐边看书，感觉能比平时更加放松。,"CD播放器 × 1
CD架 × 1
杂志柜 × 1",圆法师、音箱蟀、洛托姆立体音响洛托姆,https://img.game8.co/4437275/384a8659ef902a8509353ec6364704be.png/show
129,小小博物馆,只要放在展示台上，任何东西看起来都像珍宝。,"分隔物（任意） × 3
台座／展示台 × 1
遗失物（大） × 1",风速狗、索财灵,https://img.game8.co/4432445/89c248b88c5c1610181772808f1ef80f.png/show
130,清爽的储物间,只要放上观叶植物，朴素的储物间也会变成清爽的氛围。,"办公室储物柜 × 2
植栽（任意） × 1
椅子（长） × 1
拳击机 × 1",腾蹴小将、闪焰王牌,https://img.game8.co/4432451/f5dd90e58be6b535d989112d8da2e59b.png/show
131,铜像观光景点,感觉很适合拍照的铜像。3只宝可梦的可爱模样让大家着迷。,"花篱（任意） × 4
月夜起舞像 × 1
牌子 × 1",皮皮、皮可西,https://img.game8.co/4432453/c43377c70401fcb6924ae53750bde22f.png/show
132,平交道,栏杆放下期间禁止通行。宝可梦们也会停下来吗…。,"铁轨 × 1
道闸 × 1",小炭仔、大炭车、巨炭山,https://img.game8.co/4432470/988cdc518fbe0be8d2366088df0045c2.png/show
133,厨师的厨房,炉灶、水槽和厨具，厨师应该会喜欢这里的一切。,"炉灶 × 1
水槽 × 1
自然桌子 × 1
时髦锅 × 1
砧板 × 1
装盘的食物 × 1",藏饱栗鼠厨师,
134,极致豪华,援放的每件家具都是顶级精品，是个无比豪华的空间。,"豪华立灯 × 1
豪华床铺 × 1
豪华沙发 × 1
豪华桌子 × 1",赛富豪,https://img.game8.co/4434688/222299886eb855aabbace5f998b6c32a.png/show
135,沉沉铁色,沉稳的单色空间。点灯后，气氛显得更加宁静。,"铁床铺 × 1
铁桌子 × 1
铁椅子 × 1
提灯 × 1",巨炭山,https://img.game8.co/4437276/c272c50423100292ea95b10d3b20bcdd.png/show
136,摩登生活,简约又时尚。摩登设计充满时髦的感觉。,"工业风床铺 × 1
工业风桌子 × 1
工业风椅子 × 1",狙射树枭,https://img.game8.co/4437277/76ce2a6ae220a0619dbdec49a0754f58.png/show
137,粉红色草丛,粉红色的草组成的小草丛。在空岛很常见。,粉红色草 × 4,大颚蚁、超音波幼虫、沙漠蜻蜓、青绵鸟、夜巡灵,https://img.game8.co/4433926/46a9086d1e5cdd365af33246358e00a0.png/show
138,树荫的粉红色草丛,生长在树荫下的粉红色草。稍微有点潮湿。,"大树（任意） × 1
粉红色草 × 4",沙基拉斯、多龙梅西亚、多龙奇、新叶喵,https://img.game8.co/4433932/96738ba06f2de90cb60406f57a56ea22.png/show
139,湿润的粉红色草丛,粉红色的草与水面相互映社，显得十分美丽。,"粉红色草 × 4
水 × 2",呱呱泡蛙、呱头蛙、甲贺忍蛙,https://img.game8.co/4433938/1a68398ac71e664e0464c44ce4ab7716.png/show
140,高岗的粉红色草丛,生长在云端之上的粉红色草丛。即使狂风吹袭，依旧密壮成长。,"粉红色草 × 4
高处 × 1",蓝鸦、钢铠鸦、电海燕、大电海燕,https://img.game8.co/4433946/605ea7c55ebcac57496bddab76d327a5.png/show
141,水泥管秘密基地,很久没有使用的水泥管：里面是空的，正适合当秘密基地。,"水泥管 × 3
草（任意） × 4",火球鼠、火岩鼠,https://img.game8.co/4433950/56ea908bc11fff24edc3feb683254fc4.png/show
142,茸茸花田,可爱的花田，开满了毛营营的台空岛的花。,空岛的花 × 4,六尾、九尾、梦妖、梦妖魔、稚山雀,https://img.game8.co/4433959/24ab7f18ea297818c3968fd52a82bcd9.png/show
143,树荫的茸茸花田,在凉爽的树荫下，台空岛的花也轻盈可爱地统放着。,"大树（任意） × 1
空岛的花 × 4",麒麟奇、奇麒麟、青藤蛇、君主蛇,https://img.game8.co/4433965/29550e8cd0a0c2186978b9e958ad5bdd.png/show
144,湿润的茸茸花田,即使在水中，台空岛的花也散发着柔和的香气。,"空岛的花 × 4
水 × 2",蚊香君、迷你龙、哈克龙,https://img.game8.co/4433967/63dce028739f10506f3466b90b7a609a.png/show
145,水边小船,宁静的时光在水边流消。搭乘独木舟，悠闲地度过吧。,"独木舟 × 1
浮萍 × 2
水 × 2
高处 × 1",快龙,https://img.game8.co/4433976/d601d5b8fc71ea94c98c9a7ddef3ec58.png/show
146,光照的瀑布,点上火，照亮通往瀑布的道路吧。宝可梦们说不定也会来观赏瀑布。,"踏脚石 × 3
火炬 × 2
水 × 3
瀑布 × 1",暴鲤龙,https://img.game8.co/4437278/1ab4cddfbf0fd22499b652220ad4ef38.png/show
147,鸟语花香,舒适的巢箱和整齐的花篱。仿佛能听到从哪里传来了鸟鸣。,"精致花篱 × 1
木巢箱 × 1",七夕青鸟,https://img.game8.co/4433980/7ac89813bd7451d965e5878912d8fde4.png/show
148,简约浴室,普通的浴室。宝可梦们说不定也会来这里洗澡。,"花洒 × 1
浴缸 × 1",迷你龙、哈克龙,https://img.game8.co/4434689/cc8eb3352d514a38e4d8fd2614dca487.png/show
149,骑行小憩,把自行车停好，稍作休息。偶尔也会有宝可梦躲在自动售货机后面。,"自行车 × 1
自动售货机 × 1",铁哑铃,https://img.game8.co/4437279/b4461521564fd831f081e0aba487e074.png/show
150,在暖炉旁打瞌睡,待在暖炉前，冻僵了的身体也会逐渐暖和起来。,"石头壁炉 × 1
椅子（长） × 1",火岩鼠、火暴兽,https://img.game8.co/4433981/24faab0a38e0156d039d6e23cd743f23.png/show
151,精神力量满溢,在水晶前念念有词，就可以驾驭无形的力量……也许吧。,"简约靠枕 × 1
水晶球 × 1",凯西、胡地,https://img.game8.co/4434491/4bcae26f3153491d74b329c5b54d0cc6.png/show
152,水晶占卜,用精神之力窥视水晶，或许能看见未来哦?,"椅子（任意） × 2
桌子（任意） × 1
水晶球 × 1",凯西、勇基拉,
153,垃圾场的电视,一台被丢在垃圾场的电视。好像还能开机。,"垃圾袋 × 2
电视 × 1",彷徨夜灵、黑夜魔灵,https://img.game8.co/4433982/cf99bf2869b873bdb9327e20e0de0d66.png/show
154,大型垃圾堆放处,可以法弃大件物品的垃圾场。把不需要的家电放在这里吧。,"钢骨 × 3
轮胎 × 1
垃圾桶（任意） × 1
微波炉 × 1",小锻匠、巨锻匠头头,https://img.game8.co/4437281/28bfbd2809610ff4b3c8027249d47f14.png/show
155,和搭档一起调查,正在和风速狗一起进行调查。周围弥漫着紧张的气氛。,"风速狗玩偶 × 1
铁管椅子 × 2
工业风桌子 × 1
桌灯 × 1",新叶喵、蒂蕾喵,https://img.game8.co/4442190/fed3c1fbb0d3e20d485b393702085c57.png/show
156,井盖检修中,井盖正在维修检查闲杂人等请勿靠近。,"铁管堆 × 1
井盖 × 1
掘山道具 × 1
可连结式三角锥 × 1",蚊香泳士、钢铠鸦、巧锻匠,https://img.game8.co/4434695/4d8a761240a364097cda63f8b04bdacb.png/show
157,亮晶晶洗手台,洗脸后用毛巾擦干，顿时神清气爽。别志了照照镜子，检查一下仪容吧。,"壁挂毛巾 × 1
壁挂镜 × 1
洗手台 × 1",魔尼尼、魔墙人偶,https://img.game8.co/4433984/81971cdb6859163b87bd6c14e7a54cb6.png/show
158,家庭影院,放上大大的音响和电视，感觉就像是电影院。,"音箱 × 2
矮柜（任意） × 1
电视 × 1",梦妖魔,https://img.game8.co/4437282/5974a6fce54ef762a457b4f51f4d00be.png/show
159,学习区,光是拿起铅笔坐在桌前，就感觉自己好像变聪明了些。,"书架 × 1
椅子（任意） × 1
桌子（任意） × 1
笔筒 × 1",拉鲁拉丝、奇鲁莉安,https://img.game8.co/4433987/80c6654b5a3fb07328711fd22ab710fd.png/show
160,节奏感客厅,在大电视上玩节奏游戏。跟着节拍在热子上移动吧。,"音箱 × 2
音符垫子（任意） × 4
电视 × 1",嗡蝠、音波龙,https://img.game8.co/4436292/78c09da6ce0cf858f7131aff0143f86d.png/show
161,擦得锃亮,在咩利羊海绵上挤满清洁剂，把浴缸擦得亮晶晶吧。,"浴缸 × 1
清洁套组 × 1",蚊香蝌蚪,https://img.game8.co/4437284/c36d22a8e99ffe398fa5cbd379ebf4e5.png/show
162,保湿化妆台,让肌肤滋润水润，妆容似乎就会比平时更完美。,"梳妆台（任意） × 1
椅子（任意） × 1
加湿器 × 1",奇鲁莉安、沙奈朵,https://img.game8.co/4437285/45b4626083338054a446b2016bc7d821.png/show
163,小小图书馆,只要把灯点亮，即便在夜晚也能仔细寻找书本。,"书架 × 2
脚踏凳 × 1
桌子（任意） × 1
照明（任意) × 1",沙奈朵,https://img.game8.co/4434696/6b32cc1450370af0718e111606b41ef9.png/show
164,在游戏城对战,并排坐好后，对战游戏就开始了。宝可梦们说不定也会来玩。,"街机 × 2
椅子（任意） × 2",多边兽乙型,https://img.game8.co/4434697/9f5e195d58eb08470a299bff89d45316.png/show
165,游乐场,大大的滑梯和各种玩具，不知道该玩哪个才好。,"滑梯 × 1
玩具（任意） × 1",藤藤蛇,https://img.game8.co/4433988/fef9a0da87494ad38e61db7e31bb6e21.png/show
166,办公区,坐在办公椅上，劈里啪啦地打字。累了就喝杯饮料休息一下吧。,"办公桌 × 1
笔记本电脑 × 1
马克杯 × 1
办公室椅子 × 1",多边兽２型,https://img.game8.co/4433266/71140bf112167861b3cfdf34390a4296.png/show
167,办公室的储藏室,摆放日资料和闲置物品的地方。偶尔会有宝可梦不小心跑进来。,"办公室架子 × 1
脚踏凳 × 1
纸箱 × 1",梦妖、梦妖魔、多龙奇、多龙巴鲁托,https://img.game8.co/4433990/efc4299e4d8fb76fe1e4ba77e19c9b60.png/show
168,实验空间,可以进行大量实验的空间。或许还保留着谁的研究记录。,"实验套组 × 1
显微镜 × 1
论文 × 1",胡地,https://img.game8.co/4434698/4f19cb0bbff96605923527840465ddb9.png/show
169,为成为博士进行研究,只要不断研究，说不定能变得像巨蔓藤博士那样博学多识。,"白板 × 1
桌子（任意） × 1
乱缠电线 × 1
笔记本电脑 × 1",金属怪,
170,研究员的桌子,研究的主题是宝可梦与科学。数据已经录入电脑中。,"桌子（任意） × 2
台式电脑 × 1
实验套组 × 1",多边兽,
171,请自由取阅,谁都可以自由翻阅摆放在这里的报纸和杂态。,"杂柜 × 1
报纸 × 1",魔尼尼、君主蛇,https://img.game8.co/4435015/fce555ded6cf7af254a249aca3c58816.png/show
172,咚咚锵惊吓箱,聚光灯伴随着太鼓的节奏，打开惊吓箱的紧张感也达到了顶峰。,"聚光灯 × 2
大鼓 × 1
惊吓箱 × 1",魔幻假面喵,https://img.game8.co/4433997/ab1fdad2820ab6282844dd86111a387a.png/show
173,恶作剧开关,惊虾箱旁显眼的开关。是否要按，中你决定。,"贴地开关 × 1
惊吓箱 × 1",呱头蛙、甲贺忍蛙,https://img.game8.co/4434499/c84e4edac523984da32e2715636f7097.png/show
174,绝景露脸立牌,作为登上高处的纪念，把验对准板子的洞口拍张照吧。,"露脸立牌 × 1
聚光灯 × 2
高处 × 1",正电拍拍、负电拍拍,https://img.game8.co/4434699/ad127d4bfe2858e225c435f31f88ae11.png/show
175,轮胎公园,比起巨大的滑梯，不知为何轮胎更加抢眼。用各种轮胎来玩要吧。,"滑梯 × 1
轮胎 × 1
跳轮胎 × 2",咚咚鼠,https://img.game8.co/4434500/216a6a5e453acd2e3cbb989e62b251af.png/show
176,大自然中的集市,给收银台通上电，即使在大自然中也可以和大家进行交易。,"大树（任意） × 1
大石头 × 1
桌子（任意） × 2
收银机 × 1",雷丘,
177,工地的发电厂,施工现场同样需要大量电力。把多余的木材用作燃料吧。,"火力发电机 × 1
脚手架 × 2
铁管堆 × 1",修建老匠,https://img.game8.co/4434001/bbd92e860b2eca93a273d0cd75130323.png/show
178,在道场训练,要是领悟了武道精神，说不定连沉重的岩石都能搬动。,"挂轴 × 2
怪力岩 × 2",蚊香泳士、艾路雷朵,https://img.game8.co/4434512/a8ae651eac46535802e30360322a88e4.png/show
179,邪恶组织的基地,坐在软软的椅子上，背后是组织的标志，感觉就像自己成了老大。,"植栽（任意） × 2
火箭队挂饰 × 1
豪华沙发 × 1",猫老大,https://img.game8.co/4434002/dfa59a7bafdf1f14a766f3932e4d4476.png/show
180,九团火焰,9个等火轻轻摇曳，四周弥漫着神秘的气息、。,篝火 × 9,九尾,https://img.game8.co/4436398/59efb561c8f45591b3e643831655eae1.png/show
181,布偶堆,虽然摆放的全是布偶，但或许会有宝可梦误以为是真的。,"风速狗玩偶 × 1
皮卡丘玩偶 × 1
快龙玩偶 × 1
伊布玩偶 × 1",飘飘球、随风球,https://img.game8.co/4433253/ac430a50516e5e0bf34e84606f6dcefb.png/show
182,绝佳的游戏环境,非常适合玩游戏的舒适空间。坐在椅子上，沉浸在游戏世界中吧。,"电竞床 × 1
桌子（任意） × 1
电竞电脑 × 1
电竞冰箱 × 1
电竞椅 × 1",巨金怪,
183,极致新潮,被新潮又多彩的家具包围，感觉心情都会变得雀跃起来。,"新潮床铺 × 1
新潮沙发 × 1
新潮桌子 × 1",火暴兽,https://img.game8.co/4437286/34e59ab39431c42ae2a7a3c7a8d71439.png/show
184,垂钓场,垂下的线耐心等待，水属性的宝可梦说不定会过来。,"钓竿 × 1
椅子（任意） × 1
水 × 1",呆壳兽、呆呆王,https://img.game8.co/4433214/55f233d516ae0a2a7c590470fbcf7b12.png/show
185,海钓场,在大海也来享受重约的乐趣吧。说不定会有与河川或湖油不一样的宝可梦过来。,"钓竿 × 1
椅子（任意） × 1
海水 × 1",鲤鱼王、海兔兽西海、海兔兽东海,https://img.game8.co/4431885/f48c0068f7fecb980fbcc53b18f6efea.png/show
186,沼钓场,沼泽地里也住着宝可梦在泥水附近垂下钓线吧。,"钓竿 × 1
椅子（任意） × 1
泥水 × 1",臭泥、臭臭泥、土王,https://img.game8.co/4434701/5fac6084cf3ec96973d6e1d96e65e8f4.png/show
187,温泉钓场,正在泡温泉的宝可梦说不定会被钓饵吸引过来。,"钓竿 × 1
椅子（任意） × 1
温泉 × 1",莲叶童子、莲帽小童,https://img.game8.co/4434702/30bd7dd7d96dcdaa21c80916b32882bc.png/show
188,熔岩钓场,往熔岩中重下钓线，说不定也可以钓到宝可梦……。,"钓竿 × 1
椅子（任意） × 1
熔岩 × 1",风速狗,https://img.game8.co/4433735/c201522832c83bfc3b844766936219d6.png/show
189,高调的摇滚舞台,弹起劲爆的吉他，高调激昂的表演就要开始。,"音箱 × 2
舞台 × 1
酷炫电吉他 × 1
立式麦克风 × 1",颤弦蝾螈低调的样子,https://img.game8.co/4437287/17a30a9ffe0d1162a0d36b6d0e4756ca.png/show
190,低调的摇滚舞台,弹起低沉的贝斯，低调沉稳的表演就要开始。,"音箱 × 2
舞台 × 1
酷炫电贝斯 × 1
立式麦克风 × 1",颤弦蝾螈高调的样子,https://img.game8.co/4434703/7671d00e128614b98561695c7cebcbdc.png/show
191,怨念骑士的祭坛,有些阴音的空间，仿佛会用来进行诡异的仪式。,"台座／展示台 × 1
咒术之铠 × 1
踏脚石 × 2
篝火 × 2",苍炎刃鬼,
192,忠诚骑士的祭坛,有些神秘的空间，仿佛会用来进行诡异的仪式。,"台座／展示台 × 1
庆祝之铠 × 1
踏脚石 × 2
篝火 × 2",红莲铠骑,
193,飞翼化石展示台,展示着古代宝可梦的化石。是天空王者气派的骨架。,"台座／展示台 × 1
飞翼化石（头） × 1
飞翼化石（右翼） × 1
飞翼化石（左翼） × 1
飞翼化石（身体） × 1
飞翼化石（尾巴） × 1",化石翼龙,https://img.game8.co/4434516/d3adaba3eb8256e9819ef67163b62184.png/show
194,头盖化石展示台,展示着古代宝可梦的化石。是犹如铁一般坚硬的头盖骨。,"台座／展示台 × 1
头盖化石 × 1",头盖龙,https://img.game8.co/4434705/7ea48bfeec1b68ea14ba2a71ad48fa0b.png/show
195,头锤化石展示台,展示着古代宝可梦的化石。是比钢铁还要坚硬的头盖骨。,"台座／展示台 × 1
头锤化石（头） × 1
头锤化石（身体） × 1
头锤化石（尾巴） × 1",战槌龙,https://img.game8.co/4434706/823eca2a31f7bd325d2eac26a88fc1c1.png/show
196,盾甲化石展示台,展示着古代宝可梦的化石。是犹如盾牌般坚固的领饰。,"台座／展示台 × 1
盾甲化石 × 1",盾甲龙,https://img.game8.co/4434707/07455b50e63e85fd23378e1675656d3c.png/show
197,护盾化石展示台,展示着古代宝可梦的化石。是犹如防护墙般坚固的领饰。,"台座／展示台 × 2
护盾化石（头） × 1
护盾化石（身体） × 1
护盾化石（尾巴） × 1",护城龙,https://img.game8.co/4434589/c0742ea93a3764f7bb8d9945c3390bb2.png/show
198,颚之化石展示台,展示着古代宝可梦的化石。是能咬碎任何东西的下颚的一部分。,"台座／展示台 × 1
颚之化石 × 1",宝宝暴龙,https://img.game8.co/4434708/9aeb11f21054fae0e84cee2b9396475a.png/show
199,暴君化石展示台,展示着古代宝可梦的化石。是大地王者气派的骨架。,"台座／展示台 × 2
暴君化石（头） × 1
暴君化石（身体） × 1
暴君化石（脚） × 1
暴君化石（尾巴） × 1",怪颚龙,https://img.game8.co/4432472/b931334744b097f13d2de3dd8b1bf4c3.png/show
200,鳍之化石展示台,展示着古代宝可梦的化石。是被冰封的颈鳍的一部分。,"台座／展示台 × 1
鳍之化石 × 1",冰雪龙,https://img.game8.co/4434709/63bf819c096741c2b3a2c0a08054f93d.png/show
201,冻原化石展示台,展示着古代宝可梦的化石。是犹如极光般美丽的颈鳍。,"台座／展示台 × 1
冻原化石（头） × 1
冻原化石（身体） × 1
冻原化石（尾巴） × 1",冰雪巨龙,https://img.game8.co/4434710/a0075a6a8647ede3e9d7217a866ed8ae.png/show
202,劲爽清蓝,透明的蓝色冰淇淋汽水。看着它就像在看海中的景色。,"椅子（任意） × 1
桌子（任意） × 1
冰淇淋汽水 × 1",水伊布,https://img.game8.co/4431886/f3e9ffd8d541f4d77db164677fa20fb6.png/show
203,麻麻薯饼,炸得酥酥脆脆的星形薯饼。好吃到军身发麻。,"椅子（任意） × 1
桌子（任意） × 1
炸薯饼 × 1",雷伊布,https://img.game8.co/4431890/ce1aa4f04497b3053b50f311bb216df9.png/show
204,辣到喷火,涂满辣酱的圆形比萨。辣得感觉能喷火。,"椅子（任意） × 1
桌子（任意） × 1
比萨 × 1",火伊布,https://img.game8.co/4431891/dbe8fdcb94b46151e70c4fab28c53cad.png/show
205,优雅的午后,午后时分的下午茶坐在椅子上品尝，享受优雅的氛围。,"椅子（任意） × 1
桌子（任意） × 1
下午茶套组 × 1",太阳伊布,https://img.game8.co/4431893/e4fd6945a3e04d014e204da819407812.png/show
206,黑色滋味,由黑巧克力制成的饼一不太甜，但感觉有种温柔的味道。,"椅子（任意） × 1
桌子（任意） × 1
巧克力饼干 × 1",月亮伊布,https://img.game8.co/4431895/152c22cfdca56d905d26b26486d5c10f.png/show
207,绿色三明治,吃了全是蔬菜的三明治，好像身体就会焕发出活力。,"椅子（任意） × 1
桌子（任意） × 1
三明治 × 1",叶伊布,https://img.game8.co/4431896/b52d6689c624c2f542b05892595f34df.png/show
208,冰凉刨冰,搭配了冰块的创冰。吃下去会军身冰凉，快要冻僵。,"椅子（任意） × 1
桌子（任意） × 1
刨冰 × 1",冰伊布,https://img.game8.co/4431898/d7510df1c38b83d737bade097b4b1206.png/show
209,可爱的蛋糕,大大的蝴蝶结配上心形装饰非常可爱，味道甜美至极。,"椅子（任意） × 1
桌子（任意） × 1
缎带蛋糕 × 1",仙子伊布,https://img.game8.co/4431899/974a542495bb112ad39bc6f6ae59bcf0.png/show
