中文,说明
木盘,在盤子上放食物，說不定就會有寶可夢來吃。
盘子,用黏土燒製而成的盤子。放上食物，或許寶可夢會來吃掉。
供品台,在台面擺放食物，作為獻給苔卡比獸的貢品吧。
派对餐盘,用來装派對料理的盤子。在開派對之前，嚴禁偷吃。
野餐篮,把食物放進裡面吧。肚子餓的寶可夢可能會來吃。
马克杯,設計簡約，看起來很好用的馬克杯。換個顏色感覺也不錯。
茶具套组,茶壺和茶杯的豪華茶具組。來享受優雅的下午茶時光吧。
餐具套组,只要擺放在桌上，瞬間就像是來到了高級餐廳。
派对杯,方便攜帶的紙杯。正適合在開派對時使用。
比萨,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
炸薯饼,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
冰淇淋汽水,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
下午茶套组,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
巧克力饼干,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
三明治,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
刨冰,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
缎带蛋糕,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。
树果野餐篮,裝滿了樹果的野餐籃。排一排，就像是商店一樣。
单枝花瓶,插著可愛花朵的花瓶。擺放在各種地方，為生活增添色彩吧。
大叶子的植栽,葉片又大又光滑的植栽。其實是番薯的親戚。
大食花瓶,花瓶的粉紅色瓶口就像是寶可夢的嘴巴。散發著一股淡淡的甜香。
豪华的花,橙色花朵生機盎然地盛開著。把它裝飾起來，讓四周渲染華美氣息吧。
瘦高植栽,又小又細的椰子樹。種在盆裡，即使放在房間也不會弄體地板。
扁平植栽,葉片扁平得像板子的植栽。其實是仙人掌的親戚。
扭扭植栽,樹幹像螺絲一樣扭轉的樹木。似乎不會再長大了。
小垃圾桶,帶顔色的簡約垃圾桶適合放在房屋裡。
食梦梦存钱罐,沉甸甸的存錢筒。裡面似乎裝了大量的硬幣。
笔筒,裝滿鉛筆的筆筒。試著擺放在書桌上吧。
高级笔,看起來像是大人物會用的，充滿高級感的原子筆。
信件,封上的樸素信件。上面貼著精靈球圖案的郵票。
笔记本,寫滿了各式各樣似乎是很重要的事。已經沒有地方能寫東西了。
书,厚重的精装書。裡面滿是密密麻麻的小字。
翻开的书,精裝的古典書籍。裡面大概寫著很難理解的內容。
散落的书,有的上下頔倒，有的看似破損。似乎是從書架上掉落的書本。
论文,白紙上寫滿了密密麻麻的小字。還畫有彩色圈形。
报纸,上面滿是密密麻麻的小字。不知道是寫著些什麼。
相框,將拍攝的照片放進裡面。擺放在桌子或台子上當裝飾吧。
壁挂相框,將拍攝的照片放進裡面，掛在牆壁上當裝飾吧。
软木板,選1張喜歡的照片，装飾在軟木板上吧。
CD架,擺放著CD的架子。似乎能展現對音樂的喜愛。
杂志柜,上面擺了各種雜誌，從週刊到寫真集都有。
迷你书架,裝滿書的小書架。就算是小小的空間似乎也能擺放。
书架,書本擺得五顏六色的書架。大到看起來還能擺好多本書。
石头壁炉,相當大的壁爐。點火之後，周圍就會立刻暖和起來。
餐具柜,收納了許多東西的餐具櫃，從盤子、杯子到茶具組都有。
水槽,就連排水口都完美具備的水槽。轉動水龍頭，水就會流出來。
炉灶,簡約洗練的爐具。轉動旋鈕，火就會點燃。
微波炉,通電後就會亮起燈來。但似乎無法加熱東西。
冰箱,雖然有一點涼，但好像沒辦法讓東西變冰。
电风扇,通電後啟動它，說不定會成為寶可夢們的玩具。
空调,最新型的空調。按一下是冷風模式，按兩下會變成暖風模式。
打印机,業務用的大型列印機。適合放在辦公室等處。
洗衣机,通電後就會有聲響。但似乎無法洗衣服。
马桶,可以打開蓋子坐上去的馬桶。在這裡慢慢坐一下吧。
洗手台,木製的時尚洗手台。轉開水龍頭，就會有水嘩啦啦地流下來。
壁挂毛巾,掛在簡約把手上的毛巾。擺在洗手台旁邊感覺也不錯。
洗澡套组,洗髮精、毛巾再加上玩具。享受開心的洗澡時光吧。
清洁套组,清潔劑、抹布和咩利羊的海綿。有了這些，就能成為清潔大師。
花洒,設計簡約的蓮蓬頭。擺在浴缸旁邊，浴室就完成了。
浴缸,設計簡約的浴缸。在裡頭放好水，悠閒地泡個澡吧。
波波浴缸,沒装水也能感受到。波動和泡泡的浴缸。
平板电脑,方便攜帶的終端設備。由於裝在硬殼裡面。即使掉落也不用擔心。
手机,看起來很珍惜地裝在硬殼裡的装置。即使啟動電源也沒辦法通話。
笔记本电脑,方便攜帶的輕薄筆記型電腦。試著把照片顯示在螢幕上吧。
台式电脑,感覺會出現在研究室的電腦。上頭四處都貼著便條紙。
电竞电脑,連耳機麥克風也一應俱全的電腦套組。通電後就可以在螢幕上顯示照片。
电视,從遠處也看得很清楚的大型電視。因為是輕薄型，搬運起來很輕鬆。
壁挂屏幕,通電後就會亮起藍光的螢幕。用它來顯示拍攝的照片吧。
街机,曾經位在某個設施的遊戲機。乾乾淨凈，就像是新的一樣。似乎還能啟動。
闹钟,按下去會有很大的聲音迴響。感覺會因為嚇到就不自覺醒來。
积木,積木。可以堆疊起來玩的玩具。挑戰看看能堆出什麼形狀吧。
风车,寶可夢們會轉動它來玩。尤其是能起風的寶可夢，似乎會玩得特別盡興。
编织套组,用來編織帽子或毛衣的道具。寶可夢對圓滾滾的毛線球會充滿興趣。
Game Boy,看起來非常堅固的遊戲機。雖然老舊，但似乎還可以啟動。
加湿器,造型圓潤有特色的加濕器。開啟後能提升四周的滋潤度。
奇异香薰器,雖然上面畫著看起來很危險的圖案。但似乎不會散發毒氣。
急救箱,裝了許多處理傷口用的。藥物和器具的箱子。
水晶球,用來占卜的巨大水晶球。如果超能力屬性的寶可夢一摸就會……
显微镜,在化學實驗室或研究所很常見的顯微鏡。是做實驗時的必需品。
实验套组,藥品、檢查儀器與報告用紙。實驗已經準備就緒了。
乱缠电线,雜亂地纏在一起。沒辦法解開。
CD播放器,用來播放音樂的機器。如果找到CD就放進去看看吧。
桌上麦克风,像是會在演講會場錄音工作室等。見到的麥克風。試著擺放在桌上吧。
立式麦克风,很適合放在舞台上的麥克風。站在它前面就會不由自主想唱歌。
大鼓,非常氣派的大鼓。咚咚咚地敲，心情就會暢快無比。
酷炫电吉他,裝了神奇琴弦的酷炫吉他。拿在手上，似乎就能讓心情嗨起來。
酷炫电贝斯,装了神奇琴弦的酷炫貝斯。拿在手上，似乎就能讓心情沉下去。
混音器,通電後開啟畫面吧。可以體驗當DJ的心情喔。
音响,擺在舞台旁邊或混音器旁邊。心情好像就能變嗨。
金假牙,金色的光芒永遠不會改變。說不定是遠古時代的什麼人掉的？
除虫喷雾,按下按鈕就會咻地噴出氣體。同時有神奇的味道向四周擴散。
巨大金珠,因為是純金製的，永遠都閃閃發光。以前在愛好者之間似乎很受歡迎。
气球,色彩活潑繽紛的氣球。遇到非常微小的風也會晃動。
拳击机,測量拳撃威力的機器。握緊拳頭，使勁地擊打吧。
惊吓箱,一打開箱子。就會有耿鬼從裡面跳出來！
不倒果然翁,明非常堅固的果然翁玩偶。無論推倒它多少次都會站起來。
脚踏凳,想拿取高處的東西時可以使用的腳凳。站上去試試看吧。
纸箱,非常輕的紙箱。裡面似乎沒装任何東西。
白板,看起來像是會出現在研究室的白板。上面排滿文字與便條紙。
控制盘,雖然有各式各樣的開關。但似乎沒有一個會反應。
庆祝之铠,從鎧甲碎片製造的沉重鎧甲。其中秘藏著祝福的情感。
咒术之铠,從鎧甲碎片製造的沉重鎧甲。其中秘藏著詛咒的情感。
透明铃铛,能發出使人心情平靜音色的古老的鈴鐺。在開闊的地方搖響它，呼叫鳳王吧。
海声铃铛,能發出使人心情平靜音色的古老的鈴鐺。在開闊的地方搖響它，呼叫洛奇亞吧。
船舵,用來操縱船的方向盤。碰一下就會轉個不停。
谜之石像,似乎誰也不知道。這到底是什麼的雕像……
鸭嘴宝宝喷火像,在附近設置開關，按下去之後。就會有火焰從口中噴出來。
道馆标志雕塑,感覺看著這個石像，乾勁就會湧現。放在台座上感覺也不錯。
太空服,來在宇宙活的服装。就算在沒有空氣的地方，似乎也不會有問題。
宇宙飞船模型,跟實物非常像的模型，感覺隨時都會動起來。原本展示在某個博物館嗎……
太空船,用來前往宇宙的交通工具。緊實密封著避免裡面的空氣外洩。
挂历,看起來很好的曆。因為款式簡約，掛在任何牆壁感覺都適合。
草环,用樹枝和葉子做成的樸素圓環。掛在牆上風格典雅，感覺很不錯。
装饰架（书）,擺著五顏六色的書本的裝飾架。適合用來點綴牆壁。
装饰架（瓶瓶罐罐）,陳列著大量陶製容器的裝飾架。試著裝在牆壁上點綴空間吧。
装饰架（园艺）,有藤蔓垂掛著的裝飾架。適合用來點綴牆壁。
古董时钟,永不停止地記錄著分分秒秒。在固定的時間會發出悠揚的鐘聲。
树果造型钟,像是把橙橙果俐落地切成半的造型時鐘。把它掛到牆壁上看看吧。
木木枭钟,造型如同小屋的掛鐘。會有木木梟幫忙報時。
条幅,似乎會掛在百貨公司牆壁上的布條。垂直連結，就會變得很長。
派对墙饰,正適合當作派對的裝飾。多放一些，提升氣氛吧。
草叶墙饰,只要有葉和藤蔓繩。就能製成時尚的牆壁裝飾。
树果墙饰,6個樹果摇摇擺擺。每個看起來都很美味，但是都不能吃。
挂轴,運筆相當了得的書法。掛在牆上會有種莊重的氛圍。
吊扇,啟動開關後，扇葉就會旋轉。想要通風換氣時很方便。
晴雨飘浮泡泡,可以上下顛倒過來的飄浮泡泡玩偶。據說當它換個樣子，天氣也會跟著變化。
伊布玩偶,給飄飄球看看吧。說不定牠會帶你去夢島呢。
皮卡丘玩偶,給飄飄球看看吧。說不定牠會帶你去夢島呢。
皮皮玩偶,給飄飄球看看吧。說不定牠會帶你去夢島呢。
风速狗玩偶,給飄飄球看看吧。說不定牠會帶你去夢島呢。
快龙玩偶,給飄飄球看看吧。說不定牠會帶你去夢島呢。
百变怪玩偶,給飄飄球看看吧。說不定牠會帶你去夢島呢。
替身玩偶,給飄飄球看看吧。說不定牠會帶你去夢島呢。
脏脏的信,尚未開封的泛黃信件。上面貼著精靈球圖案的郵票。
脏脏的笔记本,雖然寫有看起來很重要的筆記。但有點葬掉了。
脏脏的书,封面污損的古典書籍。裡面大概寫著很難理解的內容。
脏脏的论文,泛黃的紙上寫滿了密密麻麻的小字。還畫有彩色圖形。
脏脏的报纸,斑漬、髒污都很明顯的報紙。好像能聞到老舊紙張的氣味。
脏脏的平板电脑,方便攜帶的裝置。雖然裝在硬殼裡面，但螢幕已經破裂。
脏脏的手机,螢幕已經破裂的裝置。即使啟動電源也沒辦法通話。
损坏的书架,因為懸崖崩塌而損壞的書架。破破爛爛，已經無法恢復原狀了。
花朵餐具套组,可愛花朵的餐具組。餐墊上印有毽子棉圖案。
便当,寶可夢造型的可愛便當。收納箱適合當作野餐的午飯。
毽子草水壶,很適合帶去野餐的肩背水壺。毽子草圖案非常可愛。
瓶装饮料,瓶裝的彩色果汁。像花朵一樣的蓋子是亮點。
花朵壁饰,由色彩繽紛的花組合成的壁飾。收納箱非常可愛。
花朵背包,有著巨大花朵標誌的背包。似乎裝有野餐的必需品。
樹才怪氣球,樹才怪造型的氣球。有時直挺挺地站立，有時軟趴趴地跳舞，和真的一模一樣。
数码相机,可換鏡頭數位相機。功能過於強大，很難駕馭。
寶石壁飾,把色彩繽紛的寶石裝在墻上，裝飾得閃閃發亮吧。
冒險套組,睡袋、帽子和鼓鼓的背包。冒險已經準備就緒。
地圖和指南針,套組裡有標記了寶藏所在的地圖和指引方位的指南針。
財寶,堆得像山一樣的金飾與閃閃發亮的寶石。擺出來就能感受到一股奢華的氛圍。