中文名,英文名,类别,说明,最大用量,desc1,desc2,文件名,文件存在
苔岩,Mossy rock,地形,,1,空气湿润，氛围宁静。,宝可梦们应该也能度过悠闲时光。,mossy-rock.png,
出水口,Water outlet,户外,放在暖呼呼的熱水附近。就會營造出溫泉般的氛圍。,1,宝可梦们也会一边泡温泉，一边享受美景。,泡一下热温泉，再泡一下冷水，就会感觉身体轻区又舒爽。,water-outlet.png,
水盆,Water basin,户外,在盆子裡儲水。讓寶可夢們能幫忙澆水吧。,1,泡一下热温泉，再泡一下冷水，就会感觉身体轻区又舒爽。,,water-basin.png,✓
热热岩,Hot rock,地形,,1,到处都是熔岩，非常热。,火居性的宝可梦难以抗拒。,hot-rock.png,
熔岩,Lava,地形,,2,到处都是熔岩，非常热。,火居性的宝可梦难以抗拒。,lava.png,
熔炉,Furnace,设施,能加工金屬等物品的爐。拜託專長是「點火」的寶可夢來幫忙吧。,1,作业工具旁放着巨大的炉子。,或许会有谁来生火。,furnace.png,
掘山道具,Dig tools,户外,雖然是看起來很堅固的鎬子和鏟子。但對會挖土的寶可夢來說則是破銅爛鐵。,1,作业工具旁放着巨大的炉子。,或许会有谁来生火。,dig-tools.png,
钢骨,Steel beam,素材,,3,钢架工程正在进行。,力气大的宝可梦好像会来帮忙。,steel-beam.png,
笋岩,Bamboo shoot rock,地形,,1,高高的岩石周围长满了产藓。,在提灯的光线下，显得有些阴森。,bamboo-shoot-rock.png,
提灯,Lantern,设施,通電後就會發出耀眼的光芒。只要有它，在昏暗的洞窟也能放心。,1,高高的岩石周围长满了产藓。,在提灯的光线下，显得有些阴森。,lantern.png,✓
桌子（大）,Large table,家具,,1,今天的主菜是什公？,敬请期待盖子打开的时刻吧。,large-table.png,
派对餐盘,Party plate,素材,用來装派對料理的盤子。在開派對之前，嚴禁偷吃。,4,今天的主菜是什公？,敬请期待盖子打开的时刻吧。,party-plate.png,
面包窑,Bread oven,设施,用來做包的廚具。拜託寶可夢來點火吧。,1,一边等面包出炉，一边准音配菜吧。,,bread-oven.png,✓
厨房桌子,Kitchen table,家具,髒污難以附著的光滑桌子。和水槽或爐子擺在一起感覺也很不錯。,1,洗好食材和碗碟，开火做料理。,今天做什公好?,kitchen-table.png,✓
炉灶,Stove,素材,簡約洗練的爐具。轉動旋鈕，火就會點燃。,1,洗好食材和碗碟，开火做料理。,今天做什公好?,stove.png,
平底锅（任意）,Frying pan,家具,,1,洗好食材和碗碟，开火做料理。,今天做什公好?,frying-pan.png,✓
水槽,Sink,素材,就連排水口都完美具備的水槽。轉動水龍頭，水就會流出來。,1,洗好食材和碗碟，开火做料理。,今天做什公好?,sink.png,✓
供餐柜台,Food counter,家具,適合在派對等場合擺放料理的櫃台。,1,食物和饮料都是自助式的。,和大家一起尽情享受吧。,food-counter.png,✓
派对杯,Party cup,素材,方便攜帶的紙杯。正適合在開派對時使用。,1,食物和饮料都是自助式的。,和大家一起尽情享受吧。,party-cup.png,
平板电脑,Tablet,素材,方便攜帶的終端設備。由於裝在硬殼裡面。即使掉落也不用擔心。,1,一手端着饮料，在平板电脑上悠闲地翻看照片吧。,,tablet.png,✓
木制栖杠,Wooden perch,家具,,1,说不定会有鸟宝可梦来到麦克风前展现动听的歌喉。,,wooden-perch.png,
立式麦克风,Standing microphone,素材,很適合放在舞台上的麥克風。站在它前面就會不由自主想唱歌。,1,说不定会有鸟宝可梦来到麦克风前展现动听的歌喉。,登上专属的舞台，来唱歌吧！,standing-microphone.png,
音箱,Speaker,设施,,2,登上专属的舞台，来唱歌吧！,放上大大的音响和电视，感觉就像是电影院。,speaker.png,✓
CD播放器,CD player,素材,用來播放音樂的機器。如果找到CD就放進去看看吧。,1,宝可梦们也会随着节拍兴致勃勃地锻。,边放音乐边看书，感觉能比平时更加放松。,cd-player.png,✓
CD架,CD rack,素材,擺放著CD的架子。似乎能展現對音樂的喜愛。,1,边放音乐边看书，感觉能比平时更加放松。,,cd-rack.png,✓
杂志柜,Magazine rack,素材,上面擺了各種雜誌，從週刊到寫真集都有。,1,边放音乐边看书，感觉能比平时更加放松。,,magazine-rack.png,✓
分隔物（任意）,Partition,装饰,,3,只要放在展示台上，任何东西看起来都像珍宝。,,partition.png,
台座／展示台,Display stand,装饰,,2,只要放在展示台上，任何东西看起来都像珍宝。,有些阴音的空间，仿佛会用来进行诡异的仪式。,display-stand.png,
办公室储物柜,Office locker,家具,連衣服都放得下的大型置物櫃。把各種東西都收納進去吧。,2,只要放上观叶植物，朴素的储物间也会变成清爽的氛围。,,office-locker.png,✓
月夜起舞像,Moonlight dance statue,装饰,,1,感觉很适合拍照的铜像。,3只宝可梦的可爱模样让大家着迷。,moonlight-dance-statue.png,
牌子,Sign,户外,以木頭製成的牌子。上面或許寫著重要的公告。,1,感觉很适合拍照的铜像。,3只宝可梦的可爱模样让大家着迷。,sign.png,✓
铁轨,Rail track,设施,鋪設鐵軌，建造出一條路吧。只要坐上採礦車，就能一口氣抵達另一端。,1,栏杆放下期间禁止通行。,宝可梦们也会停下来吗…。,rail-track.png,
道闸,Barrier gate,设施,黃黑相間的條紋很有特色。可作為上下礦車時的指引。,1,栏杆放下期间禁止通行。,宝可梦们也会停下来吗…。,barrier-gate.png,
时髦锅,Stylish pot,设施,用來煮湯的廚具。放在火堆或爐子上吧。,1,炉灶、水槽和厨具，厨师应该会喜欢这里的一切。,,stylish-pot.png,
砧板,Cutting board,设施,用來做沙拉的廚具。放上材料，開始下廚吧。,1,炉灶、水槽和厨具，厨师应该会喜欢这里的一切。,,cutting-board.png,✓
豪华立灯,Luxury floor lamp,设施,通電後就會亮起朦朧光芒。照亮四周。,1,援放的每件家具都是顶级精品，是个无比豪华的空间。,,luxury-floor-lamp.png,
豪华床铺,Luxury bed,家具,打造得很豪華的床。總覺得很像豪華球。,1,援放的每件家具都是顶级精品，是个无比豪华的空间。,,luxury-bed.png,✓
豪华沙发,Luxury sofa,家具,坐上去感覺非常松軟。簡直像飄在雲上一般。,1,援放的每件家具都是顶级精品，是个无比豪华的空间。,坐在软软的椅子上，背后是组织的标志，感觉就像自己成了老大。,luxury-sofa.png,✓
豪华桌子,Luxury table,家具,以大理石打造而成的豪華桌子。只要放在房間就會營造出典雅的空間。,1,援放的每件家具都是顶级精品，是个无比豪华的空间。,,luxury-table.png,✓
铁床铺,Iron bed,家具,寬度有點偏窄的床。十分堅固，能沉沉入睡。,1,沉稳的单色空间。,点灯后，气氛显得更加宁静。,iron-bed.png,✓
铁桌子,Iron table,家具,鐵製的桌子，設計簡約。和酷炫的房間應該會很搭。,1,沉稳的单色空间。,点灯后，气氛显得更加宁静。,iron-table.png,✓
铁椅子,Iron chair,家具,尺寸雖小，但相當結實。看起來不會隨隨便便就壞掉。,1,沉稳的单色空间。,点灯后，气氛显得更加宁静。,iron-chair.png,✓
工业风床铺,Industrial bed,家具,適合任何房間的寬敞床鋪。體型大的寶可夢也能睡。,1,简约又时尚。,摩登设计充满时髦的感觉。,industrial-bed.png,✓
工业风桌子,Industrial desk,家具,有美麗木紋的書桌。放在户外感覺也不錯。,1,简约又时尚。,摩登设计充满时髦的感觉。,industrial-desk.png,✓
工业风椅子,Industrial chair,家具,可以隨意擺放的圓椅子。腳是鐵製的，出乎意料地堅固。,1,简约又时尚。,摩登设计充满时髦的感觉。,industrial-chair.png,✓
粉红色草,Pink grass,地形,,4,粉红色的草组成的小草丛。,在空岛很常见。,pink-grass.png,
水泥管,Cement pipe,户外,連結得越多，就變得越長。就算窺看裡面，也是一片漆黑。,3,很久没有使用的水泥管：里面是空的，正适合当秘密基地。,,cement-pipe.png,
空岛的花,Sky island flower,地形,,4,可爱的花田，开满了毛营营的台空岛的花。,在凉爽的树荫下，台空岛的花也轻盈可爱地统放着。,sky-island-flower.png,
独木舟,Canoe,户外,划槳、繩索、水桶等。多種航海所需的東西都在上面。,1,宁静的时光在水边流消。,搭乘独木舟，悠闲地度过吧。,canoe.png,✓
踏脚石,Stepping stone,地形,,3,点上火，照亮通往瀑布的道路吧。,宝可梦们说不定也会来观赏瀑布。,stepping-stone.png,
火炬,Torch,户外,只要點燃火焰。就會緩緩地持續燃燒，照亮四周。,2,点上火，照亮通往瀑布的道路吧。,宝可梦们说不定也会来观赏瀑布。,torch.png,✓
精致花篱,Fancy hedge,地形,,1,舒适的巢箱和整齐的花篱。,仿佛能听到从哪里传来了鸟鸣。,fancy-hedge.png,
浴缸,Bathtub,素材,設計簡約的浴缸。在裡頭放好水，悠閒地泡個澡吧。,1,普通的浴室。,宝可梦们说不定也会来这里洗澡。,bathtub.png,✓
自行车,Bicycle,户外,看起來很高檔的折疊自行車。像新的一樣閃閃發亮。,1,把自行车停好，稍作休息。,偶尔也会有宝可梦躲在自动售货机后面。,bicycle.png,
石头壁炉,Stone fireplace,素材,相當大的壁爐。點火之後，周圍就會立刻暖和起來。,1,待在暖炉前，冻僵了的身体也会逐渐暖和起来。,,stone-fireplace.png,✓
简约靠枕,Simple cushion,家具,簡約好用的墊子。裡面塞滿了棉絮，坐上去軟綿綿的。,1,在水晶前念念有词，就可以驾驭无形的力量……也许吧。,,simple-cushion.png,
水晶球,Crystal ball,素材,用來占卜的巨大水晶球。如果超能力屬性的寶可夢一摸就會……,1,在水晶前念念有词，就可以驾驭无形的力量……也许吧。,用精神之力窥视水晶，或许能看见未来哦?,crystal-ball.png,✓
电视,TV,素材,從遠處也看得很清楚的大型電視。因為是輕薄型，搬運起來很輕鬆。,1,一台被丢在垃圾场的电视。,好像还能开机。,tv.png,
轮胎,Tire,户外,高高堆疊起來的輪胎。看起來隨時會垮下，沒想到卻不會垮下來。,1,可以法弃大件物品的垃圾场。,把不需要的家电放在这里吧。,tire.png,
微波炉,Microwave,素材,通電後就會亮起燈來。但似乎無法加熱東西。,1,可以法弃大件物品的垃圾场。,把不需要的家电放在这里吧。,microwave.png,
风速狗玩偶,Arcanine plushie,素材,給飄飄球看看吧。說不定牠會帶你去夢島呢。,1,正在和风速狗一起进行调查。,周围弥漫着紧张的气氛。,arcanine-plushie.png,
铁管椅子,Folding chair,家具,方便攜帶的鐵管椅子。排列擺放在活動會場等地方吧。,2,正在和风速狗一起进行调查。,周围弥漫着紧张的气氛。,folding-chair.png,✓
桌灯,Desk lamp,设施,設計簡約的燈具。擺放在桌上，似乎可以專心做事。,1,正在和风速狗一起进行调查。,周围弥漫着紧张的气氛。,desk-lamp.png,
铁管堆,Iron pipe stack,户外,像是會在工地見到。堆成一小堆的鐵管。,1,井盖正在维修检查闲杂人等请勿靠近。,施工现场同样需要大量电力。,iron-pipe-stack.png,
井盖,Manhole cover,户外,可以像門一樣整個打開來的人孔蓋。放在洞穴上也可以變成入口。,1,井盖正在维修检查闲杂人等请勿靠近。,,manhole-cover.png,
可连结式三角锥,Traffic cone,户外,排一排，就會連結起來。適合擺放在正在施工的地方。,1,井盖正在维修检查闲杂人等请勿靠近。,,traffic-cone.png,✓
壁挂毛巾,Wall towel,素材,掛在簡約把手上的毛巾。擺在洗手台旁邊感覺也不錯。,1,洗脸后用毛巾擦干，顿时神清气爽。,别志了照照镜子，检查一下仪容吧。,wall-towel.png,
壁挂镜,Wall mirror,家具,在鏡子前變身成不同的模樣。完美搭配好全身的造型吧。,1,洗脸后用毛巾擦干，顿时神清气爽。,别志了照照镜子，检查一下仪容吧。,wall-mirror.png,✓
洗手台,Washstand,素材,木製的時尚洗手台。轉開水龍頭，就會有水嘩啦啦地流下來。,1,洗脸后用毛巾擦干，顿时神清气爽。,别志了照照镜子，检查一下仪容吧。,washstand.png,
矮柜（任意）,Low cabinet,家具,,1,放上大大的音响和电视，感觉就像是电影院。,,low-cabinet.png,
笔筒,Pen holder,素材,裝滿鉛筆的筆筒。試著擺放在書桌上吧。,1,光是拿起铅笔坐在桌前，就感觉自己好像变聪明了些。,,pen-holder.png,
音符垫子（任意）,Music mat,设施,,4,在大电视上玩节奏游戏。,跟着节拍在热子上移动吧。,music-mat.png,
清洁套组,Cleaning set,素材,清潔劑、抹布和咩利羊的海綿。有了這些，就能成為清潔大師。,1,在咩利羊海绵上挤满清洁剂，把浴缸擦得亮晶晶吧。,,cleaning-set.png,
加湿器,Humidifier,素材,造型圓潤有特色的加濕器。開啟後能提升四周的滋潤度。,1,让肌肤滋润水润，妆容似乎就会比平时更完美。,,humidifier.png,✓
脚踏凳,Straw stool,素材,想拿取高處的東西時可以使用的腳凳。站上去試試看吧。,1,只要把灯点亮，即便在夜晚也能仔细寻找书本。,摆放日资料和闲置物品的地方。,straw-stool.png,✓
照明（任意),Lighting,设施,,1,只要把灯点亮，即便在夜晚也能仔细寻找书本。,,lighting.png,
滑梯,Slide,户外,公園不可或缺的遊樂器材。非常龐大，存在感尤其強烈。,1,大大的滑梯和各种玩具，不知道该玩哪个才好。,比起巨大的滑梯，不知为何轮胎更加抢眼。,slide.png,✓
办公桌,Office desk,家具,辦公室常使用的桌子。抽履鎖住了，打不開。,1,坐在办公椅上，劈里啪啦地打字。,累了就喝杯饮料休息一下吧。,office-desk.png,✓
笔记本电脑,Laptop,素材,方便攜帶的輕薄筆記型電腦。試著把照片顯示在螢幕上吧。,1,坐在办公椅上，劈里啪啦地打字。,累了就喝杯饮料休息一下吧。,laptop.png,✓
办公室椅子,Office chair,家具,和緩的曲線貼合著身體。即使長時間坐著應該也不會累。,1,坐在办公椅上，劈里啪啦地打字。,累了就喝杯饮料休息一下吧。,office-chair.png,✓
办公室架子,Office shelf,家具,塞著滿满的文件，看起來是無法再放東西進去了。,1,摆放日资料和闲置物品的地方。,偶尔会有宝可梦不小心跑进来。,office-shelf.png,✓
实验套组,Lab set,素材,藥品、檢查儀器與報告用紙。實驗已經準備就緒了。,1,可以进行大量实验的空间。,或许还保留着谁的研究记录。,lab-set.png,
显微镜,Microscope,素材,在化學實驗室或研究所很常見的顯微鏡。是做實驗時的必需品。,1,可以进行大量实验的空间。,或许还保留着谁的研究记录。,microscope.png,✓
论文,Research paper,素材,白紙上寫滿了密密麻麻的小字。還畫有彩色圈形。,1,可以进行大量实验的空间。,或许还保留着谁的研究记录。,research-paper.png,
白板,Whiteboard,素材,看起來像是會出現在研究室的白板。上面排滿文字與便條紙。,1,只要不断研究，说不定能变得像巨蔓藤博士那样博学多识。,,whiteboard.png,✓
台式电脑,Desktop computer,素材,感覺會出現在研究室的電腦。上頭四處都貼著便條紙。,1,研究的主题是宝可梦与科学。,数据已经录入电脑中。,desktop-computer.png,
杂柜,Misc cabinet,家具,,1,谁都可以自由翻阅摆放在这里的报纸和杂态。,,misc-cabinet.png,
报纸,Newspaper,素材,上面滿是密密麻麻的小字。不知道是寫著些什麼。,1,谁都可以自由翻阅摆放在这里的报纸和杂态。,,newspaper.png,✓
大鼓,Bass drum,素材,非常氣派的大鼓。咚咚咚地敲，心情就會暢快無比。,1,聚光灯伴随着太鼓的节奏，打开惊吓箱的紧张感也达到了顶峰。,,bass-drum.png,
贴地开关,Floor switch,设施,安裝在地面的開關。踩上去之後，四周的東西就會流暢運作。,1,惊虾箱旁显眼的开关。,是否要按，中你决定。,floor-switch.png,✓
露脸立牌,Face cutout board,户外,把臉放在立牌的洞口。變成正電拍拍和負電拍拍吧。,1,作为登上高处的纪念，把验对准板子的洞口拍张照吧。,,face-cutout-board.png,
跳轮胎,Tire hop,户外,在公園等地方會有的遊樂器材。擺在地面上之後。就跳過它玩玩吧。,2,比起巨大的滑梯，不知为何轮胎更加抢眼。,用各种轮胎来玩要吧。,tire-hop.png,
脚手架,Scaffolding,设施,,2,施工现场同样需要大量电力。,把多余的木材用作燃料吧。,scaffolding.png,
挂轴,Hanging scroll,素材,運筆相當了得的書法。掛在牆上會有種莊重的氛圍。,2,要是领悟了武道精神，说不定连沉重的岩石都能搬动。,,hanging-scroll.png,✓
怪力岩,Machamp rock,地形,,2,要是领悟了武道精神，说不定连沉重的岩石都能搬动。,,machamp-rock.png,
火箭队挂饰,Team Rocket decoration,装饰,,1,坐在软软的椅子上，背后是组织的标志，感觉就像自己成了老大。,,team-rocket-decoration.png,
篝火,Campfire,户外,點火之後就會轟地燃起。照亮四周。,9,9个等火轻轻摇曳，四周弥漫着神秘的气息、。,有些阴音的空间，仿佛会用来进行诡异的仪式。,campfire.png,✓
快龙玩偶,Dragonite plushie,素材,給飄飄球看看吧。說不定牠會帶你去夢島呢。,1,虽然摆放的全是布偶，但或许会有宝可梦误以为是真的。,,dragonite-plushie.png,
伊布玩偶,Eevee plushie,素材,給飄飄球看看吧。說不定牠會帶你去夢島呢。,1,虽然摆放的全是布偶，但或许会有宝可梦误以为是真的。,,eevee-plushie.png,
电竞床,Gaming bed,家具,酷炫有型的床。打開電源後。還能營造出充滿科技感的氛圍。,1,非常适合玩游戏的舒适空间。,坐在椅子上，沉浸在游戏世界中吧。,gaming-bed.png,✓
电竞电脑,Gaming PC,素材,連耳機麥克風也一應俱全的電腦套組。通電後就可以在螢幕上顯示照片。,1,非常适合玩游戏的舒适空间。,坐在椅子上，沉浸在游戏世界中吧。,gaming-pc.png,✓
电竞冰箱,Gaming fridge,家具,有點冰凉的櫃子。冰屬性的寶可夢應該會喜。,1,非常适合玩游戏的舒适空间。,坐在椅子上，沉浸在游戏世界中吧。,gaming-fridge.png,✓
电竞椅,Gaming chair,家具,有大大的椅背和軟墊。就算長時間坐著應該也很舒服。,1,非常适合玩游戏的舒适空间。,坐在椅子上，沉浸在游戏世界中吧。,gaming-chair.png,✓
新潮床铺,Pop art bed,家具,躺下來就像是身在膠囊裡面。床墊也軟綿綿的，應該可以睡得很熟。,1,被新潮又多彩的家具包围，感觉心情都会变得雀跃起来。,,pop-art-bed.png,✓
新潮沙发,Pop art sofa,家具,造型看起來很柔軟的沙發。整體曲線圓滑，相當可愛。,1,被新潮又多彩的家具包围，感觉心情都会变得雀跃起来。,,pop-art-sofa.png,✓
新潮桌子,Pop art table,家具,帶有光澤的圓桌。差不多跟多邊獸Ⅱ一樣光滑。,1,被新潮又多彩的家具包围，感觉心情都会变得雀跃起来。,,pop-art-table.png,✓
钓竿,Fishing rod,户外,釣寶可夢時的必需品。擺放在水邊後，慢慢地等候看看吧。,1,垂下的线耐心等待，水属性的宝可梦说不定会过来。,在大海也来享受重约的乐趣吧。,fishing-rod.png,✓
酷炫电吉他,Cool electric guitar,素材,裝了神奇琴弦的酷炫吉他。拿在手上，似乎就能讓心情嗨起來。,1,弹起劲爆的吉他，高调激昂的表演就要开始。,,cool-electric-guitar.png,✓
酷炫电贝斯,Cool electric bass,素材,装了神奇琴弦的酷炫貝斯。拿在手上，似乎就能讓心情沉下去。,1,弹起低沉的贝斯，低调沉稳的表演就要开始。,,cool-electric-bass.png,
咒术之铠,Curse armor,素材,從鎧甲碎片製造的沉重鎧甲。其中秘藏著詛咒的情感。,1,有些阴音的空间，仿佛会用来进行诡异的仪式。,,curse-armor.png,
庆祝之铠,Celebration armor,素材,從鎧甲碎片製造的沉重鎧甲。其中秘藏著祝福的情感。,1,有些神秘的空间，仿佛会用来进行诡异的仪式。,,celebration-armor.png,
飞翼化石（头）,Aerodactyl fossil (head),化石,,1,展示着古代宝可梦的化石。,是天空王者气派的骨架。,aerodactyl-fossil-head.png,
飞翼化石（右翼）,Aerodactyl fossil (right wing),化石,,1,展示着古代宝可梦的化石。,是天空王者气派的骨架。,aerodactyl-fossil-right-wing.png,
飞翼化石（左翼）,Aerodactyl fossil (left wing),化石,,1,展示着古代宝可梦的化石。,是天空王者气派的骨架。,aerodactyl-fossil-left-wing.png,
飞翼化石（身体）,Aerodactyl fossil (body),化石,,1,展示着古代宝可梦的化石。,是天空王者气派的骨架。,aerodactyl-fossil-body.png,
飞翼化石（尾巴）,Aerodactyl fossil (tail),化石,,1,展示着古代宝可梦的化石。,是天空王者气派的骨架。,aerodactyl-fossil-tail.png,
头盖化石,Cranidos fossil,化石,,1,展示着古代宝可梦的化石。,是犹如铁一般坚硬的头盖骨。,cranidos-fossil.png,
头锤化石（头）,Rampardos fossil (head),化石,,1,展示着古代宝可梦的化石。,是比钢铁还要坚硬的头盖骨。,rampardos-fossil-head.png,
头锤化石（身体）,Rampardos fossil (body),化石,,1,展示着古代宝可梦的化石。,是比钢铁还要坚硬的头盖骨。,rampardos-fossil-body.png,
头锤化石（尾巴）,Rampardos fossil (tail),化石,,1,展示着古代宝可梦的化石。,是比钢铁还要坚硬的头盖骨。,rampardos-fossil-tail.png,
盾甲化石,Shieldon fossil,化石,,1,展示着古代宝可梦的化石。,是犹如盾牌般坚固的领饰。,shieldon-fossil.png,
护盾化石（头）,Bastiodon fossil (head),化石,,1,展示着古代宝可梦的化石。,是犹如防护墙般坚固的领饰。,bastiodon-fossil-head.png,
护盾化石（身体）,Bastiodon fossil (body),化石,,1,展示着古代宝可梦的化石。,是犹如防护墙般坚固的领饰。,bastiodon-fossil-body.png,
护盾化石（尾巴）,Bastiodon fossil (tail),化石,,1,展示着古代宝可梦的化石。,是犹如防护墙般坚固的领饰。,bastiodon-fossil-tail.png,
颚之化石,Tyrunt fossil,化石,,1,展示着古代宝可梦的化石。,是能咬碎任何东西的下颚的一部分。,tyrunt-fossil.png,
暴君化石（头）,Tyrantrum fossil (head),化石,,1,展示着古代宝可梦的化石。,是大地王者气派的骨架。,tyrantrum-fossil-head.png,
暴君化石（身体）,Tyrantrum fossil (body),化石,,1,展示着古代宝可梦的化石。,是大地王者气派的骨架。,tyrantrum-fossil-body.png,
暴君化石（脚）,Tyrantrum fossil (feet),化石,,1,展示着古代宝可梦的化石。,是大地王者气派的骨架。,tyrantrum-fossil-feet.png,
暴君化石（尾巴）,Tyrantrum fossil (tail),化石,,1,展示着古代宝可梦的化石。,是大地王者气派的骨架。,tyrantrum-fossil-tail.png,
鳍之化石,Amaura fossil,化石,,1,展示着古代宝可梦的化石。,是被冰封的颈鳍的一部分。,amaura-fossil.png,
冻原化石（头）,Aurorus fossil (head),化石,,1,展示着古代宝可梦的化石。,是犹如极光般美丽的颈鳍。,aurorus-fossil-head.png,
冻原化石（身体）,Aurorus fossil (body),化石,,1,展示着古代宝可梦的化石。,是犹如极光般美丽的颈鳍。,aurorus-fossil-body.png,
冻原化石（尾巴）,Aurorus fossil (tail),化石,,1,展示着古代宝可梦的化石。,是犹如极光般美丽的颈鳍。,aurorus-fossil-tail.png,
冰淇淋汽水,Ice cream soda,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,透明的蓝色冰淇淋汽水。,看着它就像在看海中的景色。,ice-cream-soda.png,
炸薯饼,Hash brown,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,炸得酥酥脆脆的星形薯饼。,好吃到军身发麻。,hash-brown.png,
比萨,Pizza,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,涂满辣酱的圆形比萨。,辣得感觉能喷火。,pizza.png,✓
下午茶套组,Afternoon tea set,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,午后时分的下午茶坐在椅子上品尝，享受优雅的氛围。,,afternoon-tea-set.png,✓
巧克力饼干,Chocolate cookie,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,由黑巧克力制成的饼一不太甜，但感觉有种温柔的味道。,,chocolate-cookie.png,
三明治,Sandwich,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,吃了全是蔬菜的三明治，好像身体就会焕发出活力。,,sandwich.png,
刨冰,Shaved ice,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,搭配了冰块的创冰。,吃下去会军身冰凉，快要冻僵。,shaved-ice.png,✓
缎带蛋糕,Ribbon cake,素材,伊布的夥伴喜歡的東西。準備好桌子和椅子吧。,1,大大的蝴蝶结配上心形装饰非常可爱，味道甜美至极。,,ribbon-cake.png,✓
